UnitID	UnitGUID	CollectorsFieldNumber	AssemblageID	SourceInstitutionID	SourceID	Owner	LicenceType	Licence	RecordBasis	KindOfUnit	CollectionType	TypeStatus	Sex	PhaseOrStage	Titles	Notes	PreparationType	NumberOfSpecimen	FromCaptivity	ObjectPublic	MultiMediaPublic	AcquiredFrom	ProjectTitle	WorldRegion	Continent	Country	ISO3166Code	ProvinceState	Island	Locality	City	Sublocality	LocalityText	DateTimeBegin	DateTimeEnd	Method	Altitude	AltitudeUnifOfMeasurement	Depth	depthUnitOfMeasurement	FullName	GatheringOrganizations	LongitudeDecimal	LatitudeDecimal
RGM.41314		KNN  244		Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true	Snellius expeditie			IRIAN							"MISOOL S OF;MATEGENAN, IRIAN"						"KUENEN,PH.H. SNELLIUS EXPEDITION SEE ARCH.5550013"
RGM.40895				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				AUSTRIA							"GOSAU ZIMMERGRABEN, AUSTRIA"					
RGM.40894				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				ITALY							"TORINO, ITALY"					
RGM.40893				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				AUSTRIA							"GOSAU NEFGRABEN, AUSTRIA"					
RGM.40891				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				FRANCE							"CARCASSONNE AUDE, FRANCE"					
RGM.40890				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				FRANCE							"DAX LANDES, FRANCE"					
RGM.40889				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				ITALY							"MT.GRUMI NEAR CASTELGOMBERTO, ITALY"						VICENZA EXC.1927
RGM.40888				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				FRANCE							"GRIGNON YVELINES, FRANCE"					
RGM.40886				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				ITALY							"TORINO, ITALY"					
RGM.40885				Naturalis Biodiversity Center	CRS	Naturalis Biodiversity Center	Copyright	CC0	FossileSpecimen	Not applicable	Paleontology Invertebrates						fossilized	0	false	true	true				FRANCE							"GRIGNON YVELINES, FRANCE"					
