adult;adult
ad.;adult
ad;adult
adultus.;adult
adultus;adult
adulta;adult
ei;egg
eggs;egg
m. eieren;egg
embryo;embryo
emb;embryo
embr.;embryo
immature;immature
juvenile;juvenile
juv.;juvenile
juv;juvenile
1 juv.;juvenile
1 juvenile;juvenile
juveniel;juvenile
juveniles;juvenile
larva;larva
larve;larva
larvae;larva
larven;larva
nymph;nymph
nymphe;nymph
deutonymph;nymph
protonymph;nymph
subadult;subadult
subad.;subadult
adolecent;subadult
semi-adulte;subadult
adolescens;subadult
unknown;[NULL]
