"TAG","DEL","HERBARIUM","CATEGORY","SPECID","BRAHMS","ACCESSION","BARCODE","OLDBARCODE","PHENOLOGY","COLLECTOR","PREFIX","NUMBER","SUFFIX","ADDCOLL","ADDCOLLALL","TYPE","TYPE_OF","TYPEURL","DAY","MONTH","YEAR","DATERES","FAMCLASS","ORDER","FAMILY","CF","TAXSTAT","SPECIES","DETSTATUS","DETBY","DAYIDENT","MONTHIDENT","YEARIDENT","DETDATE","DETHISTORY","DETNOTES","CURATENOTE","ORIGINSTAT","ORIGINID","CONTINENT","REGION","COUNTRY","MAJORAREA","MINORAREA","LOCPREFIX","GAZETTEER","LOCNOTES","HABITATTXT","NOTE","CULTNOTES","LATITUDE","NS","LONGITUDE","EW","LLUNIT","LLRES","LLORIG","LATLONG","LATDEC","LONGDEC","DEGSQ","MINELEV","MAXELEV","ALTRES","ALTTEXT","ALTRANGE","GEODATA","PLANTDESC","NOTES","VERNACULAR","LANGUAGE","GENUS","SP1","AUTHOR1","RANK1","SP2","AUTHOR2","RANK2","SP3","AUTHOR3","UNIQUE","HSACCODE","GAZCODE","HBCODE","HSTYPE","SPTYPE","SPNUMBER","SPCODETYPE","CSCODE","ALTCS","ADDCSCODE","DETBYCODE","CONUMBER","CCID","ENTRYDATE","WHO","NOTONLINE","DATELASTM","IMAGELIST"
"*","","L","Herbarium sheet","6000031.000000","4503261.000000","","L.3968027","","","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3488","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Fabales","Leguminosae-Caes.","","","Maniltoa psilogyne Harms","","Adema, FACB; Rachman, IA","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518750","N","    127.901750","E","DD","7","","","      0.000000","      0.000000","","     22.000000","      0.000000","","","","","Tree, buds yellow-green.","Tree, buds yellow-green.; Very disturbed primary forest along rocky trails and slopes.","","","Maniltoa","psilogyne","Harms","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  76207.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452222.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3968027/format/large"
"*","","L","Herbarium sheet","6000034.000000","4503262.000000","","L.3969199","","immature f","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3489","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Aquifoliales","Cardiopteridaceae","","","Gonocaryum calleryanum (Baill.) Becc.","","Balgooy, MMJ van; Wardi","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518750","N","    127.901750","E","DD","7","","","      0.000000","      0.000000","","     22.000000","      0.000000","","","","","Tee 12 m; one fruit seen, green.","Tee 12 m; one fruit seen, green.; Very disturbed primary forest along rocky trails and slopes.","","","Gonocaryum","calleryanum","(Baill.) Becc.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  70402.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452223.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3969199/format/large"
"*","","L","Herbarium sheet","6000037.000000","4503263.000000","","","","","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3490","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Ericales","Ebenaceae","","","Diospyros ulo Merr.","","Sahroni, D","      0.000000","      0.000000","   2013.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518750","N","    127.901750","E","DD","7","","","      0.000000","      0.000000","","     22.000000","      0.000000","","","","","Tree 18 m; 25 cm DBH; calyx green; corolla white.","Tree 18 m; 25 cm DBH; calyx green; corolla white.; Very disturbed primary forest along rocky trails and slopes.","","","Diospyros","ulo","Merr.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000"," 279636.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452224.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017",""
"*","","L","Herbarium sheet","6000040.000000","4503264.000000","","L.3967313","","","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3491","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Magnoliales","Myristicaceae","","acc","Myristica fragrans Houtt.","","Wilde, WJJO de","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518750","N","    127.901750","E","DD","7","","","      0.000000","      0.000000","","     22.000000","      0.000000","","","","","Tree 20 m; 25 cm DBH; fruit yellow-green with brown striping, aril red. (Nutmeg?).","Tree 20 m; 25 cm DBH; fruit yellow-green with brown striping, aril red. (Nutmeg?).; Very disturbed primary forest along rocky trails and slopes.","","","Myristica","fragrans","Houtt.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  35275.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452225.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3967313/format/large"
"*","","L","Herbarium sheet","6000043.000000","4503265.000000","","L.3967324","","flower","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3492","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Magnoliales","Myristicaceae","","acc","Knema tomentella (Miq.) Warb.","","Wilde, WJJO de","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518556","N","    127.902472","E","DD","7","","","      0.000000","      0.000000","","     58.000000","      0.000000","","","","","Tree; flower buds covered in red-brown pubescence, also slight on leaf undersides; corolla open, tepals thick yellow; stamens reddish-orange.","Tree; flower buds covered in red-brown pubescence, also slight on leaf undersides; corolla open, tepals thick yellow; stamens reddish-orange.; Very disturbed primary forest along rocky trails and slopes.","","","Knema","tomentella","(Miq.) Warb.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  87476.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452226.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3967324/format/large"
"*","","L","Herbarium sheet","6000046.000000","4503266.000000","","","","","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3493","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Ericales","Ebenaceae","","","Diospyros rostrata (Merr.) Bakh.","","Rachman, IA; Sahroni, D","      0.000000","      0.000000","   2013.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest along rocky trails and slopes.","","","      0.518556","N","    127.902472","E","DD","7","","","      0.000000","      0.000000","","     58.000000","      0.000000","","","","","Tree 12 m; fruits pale green.","Tree 12 m; fruits pale green.; Very disturbed primary forest along rocky trails and slopes.","","","Diospyros","rostrata","(Merr.) Bakh.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  72309.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452227.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017",""
"*","","L","Herbarium sheet","6000049.000000","4503267.000000","","L.3967604","","","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3494","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Alismatales","Araceae","","acc","Pothos  L.","","Balgooy, MMJ van","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest. Along rocky trails and slopes.","","","      0.518417","N","    127.903111","E","DD","7","","","      0.000000","      0.000000","","     75.000000","      0.000000","","","","","Climber on ground and up tree trunks. Spathe green, spadix in flower yellow, green in fruit maturing to red. Anthers cream coloured.","Climber on ground and up tree trunks. Spathe green, spadix in flower yellow, green in fruit maturing to red. Anthers cream coloured.; Very disturbed primary forest. Along rocky trails and slopes.","","","Pothos","","L.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","   4560.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452228.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3967604/format/large"
"*","","L","Herbarium sheet","6000055.000000","4503270.000000","","L.3967585","","immature f","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3497","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Sapindales","Anacardiaceae","","","Semecarpus forstenii Blume","","Balgooy, MMJ van","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest. Along rocky trails and slopes.","","","      0.518417","N","    127.903111","E","DD","7","","","      0.000000","      0.000000","","     75.000000","      0.000000","","","","","Slender tree 10 m; 3 cm DBH. Leaf light grey-green beneath, fruits green, covered in light, soft golden-brown pubescene. Eventually black sap appears in stem cut.","Slender tree 10 m; 3 cm DBH. Leaf light grey-green beneath, fruits green, covered in light, soft golden-brown pubescene. Eventually black sap appears in stem cut.; Very disturbed primary forest. Along rocky trails and slopes.","","","Semecarpus","forstenii","Blume","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  70659.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452231.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3967585/format/large"
"*","","L","Herbarium sheet","6000058.000000","4503271.000000","","L.3969254","","mature fru","Merello, MC; Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","3498","","Razakamalala, R; Andriamahefarivo, LD; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Proteales","Proteaceae","","acc","Helicia moluccana (R.Br.) Blume","CF","Balgooy, MMJ van","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest. Along rocky trails and slopes.","","","      0.518417","N","    127.903111","E","DD","7","","","      0.000000","      0.000000","","     75.000000","      0.000000","","","","","Tree 18 m, fruit tannish-brown.","Tree 18 m, fruit tannish-brown.; Very disturbed primary forest. Along rocky trails and slopes.","","","Helicia","moluccana","(R.Br.) Blume","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","  89802.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452232.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3969254/format/large"
"*","","L","Herbarium sheet","6000063.000000","4503273.000000","","L.3967388","","flower","Merello, MC; Andriamahefarivo, LD; Razakamalala, R; Haris, I; Mahroji, R","","3500","","Andriamahefarivo, LD; Razakamalala, R; Haris, I; Mahroji, R","","","","","      2.000000","     12.000000","   2012.000000","","Magnoliopsidae","Rosales","Rhamnaceae","","acc","Ziziphus  L.","","Balgooy, MMJ van; Arias Guerrero, S","      0.000000","      0.000000","   2014.000000","","","","","","","Asia-Tropical","Malesia","Indonesia","Moluccas","Maluku Utara","","Myosen Spring","Central Halmahera. Weda Bay. Myosen Spring.","Very disturbed primary forest. Along rocky trails and slopes.","","","      0.517722","N","    127.903972","E","DD","7","","","      0.000000","      0.000000","","     96.000000","      0.000000","","","","","Tree 12 m. Petals brown-green outside, green inside; anthers brownish, yellow glandular ring. Fragrant.","Tree 12 m. Petals brown-green outside, green inside; anthers brownish, yellow glandular ring. Fragrant.; Very disturbed primary forest. Along rocky trails and slopes.","","","Ziziphus","","L.","","","","","","","      0.000000","      0.000000"," 109473.000000","   8339.000000","      0.000000","      0.000000","   6606.000000","      0.000000","      0.000000","      0.000000","      0.000000","5452234.000000","      0.000000","      1.000000","17/08/2017","Wieri","","12/10/2017","http://medialib.naturalis.nl/file/id/L.3967388/format/large"
